year_month,year,month,series_name,category,region,value,index_2015,pct_change_2015
2015-01-01,2015,1,Candy_Gum,processed_food,National,143.191,98.51309491253146,-1.4869050874685432
2015-02-01,2015,2,Candy_Gum,processed_food,National,145.625,100.18764759403449,0.1876475940344935
2015-03-01,2015,3,Candy_Gum,processed_food,National,145.808,100.31354863787799,0.31354863787797904
2015-04-01,2015,4,Candy_Gum,processed_food,National,142.936,98.33765903176595,-1.6623409682340595
2015-05-01,2015,5,Candy_Gum,processed_food,National,145.266,99.94066139327047,-0.05933860672951869
2015-06-01,2015,6,Candy_Gum,processed_food,National,144.555,99.45150487866545,-0.548495121334545
2015-07-01,2015,7,Candy_Gum,processed_food,National,145.299,99.9633648601931,-0.03663513980691139
2015-08-01,2015,8,Candy_Gum,processed_food,National,145.817,100.31974049249324,0.31974049249324266
2015-09-01,2015,9,Candy_Gum,processed_food,National,146.961,101.1067940124766,1.1067940124765971
2015-10-01,2015,10,Candy_Gum,processed_food,National,146.318,100.66442039940904,0.6644203994090315
2015-11-01,2015,11,Candy_Gum,processed_food,National,146.485,100.77931370171429,0.7793137017142946
2015-12-01,2015,12,Candy_Gum,processed_food,National,145.966,100.422250085568,0.42225008556799787
2016-01-01,2016,1,Candy_Gum,processed_food,National,144.334,99.29946044866867,-0.7005395513313312
2016-02-01,2016,2,Candy_Gum,processed_food,National,144.378,99.32973173789878,-0.6702682621012142
2016-03-01,2016,3,Candy_Gum,processed_food,National,145.691,100.23305452787969,0.23305452787968853
2016-04-01,2016,4,Candy_Gum,processed_food,National,145.464,100.07688219480606,0.07688219480606642
2016-05-01,2016,5,Candy_Gum,processed_food,National,144.792,99.61455705020046,-0.3854429497995362
2016-06-01,2016,6,Candy_Gum,processed_food,National,145.095,99.82301615558067,-0.17698384441933243
2016-07-01,2016,7,Candy_Gum,processed_food,National,145.185,99.88493470173321,-0.11506529826679374
2016-08-01,2016,8,Candy_Gum,processed_food,National,145.329,99.98400437557727,-0.01599562442273183
2016-09-01,2016,9,Candy_Gum,processed_food,National,146.437,100.74629047709959,0.7462904770996073
2016-10-01,2016,10,Candy_Gum,processed_food,National,144.531,99.4349932663581,-0.5650067336418887
2016-11-01,2016,11,Candy_Gum,processed_food,National,144.658,99.52236721481779,-0.4776327851822114
2016-12-01,2016,12,Candy_Gum,processed_food,National,145.06,99.7989367209658,-0.20106327903420532
2017-01-01,2017,1,Candy_Gum,processed_food,National,144.758,99.59116559943173,-0.40883440056826653
2017-02-01,2017,2,Candy_Gum,processed_food,National,142.968,98.35967451484238,-1.6403254851576146
2017-03-01,2017,3,Candy_Gum,processed_food,National,144.202,99.20864658097828,-0.7913534190217212
2017-04-01,2017,4,Candy_Gum,processed_food,National,143.741,98.89148602790807,-1.1085139720919244
2017-05-01,2017,5,Candy_Gum,processed_food,National,143.28,98.57432547483785,-1.425674525162147
2017-06-01,2017,6,Candy_Gum,processed_food,National,144.109,99.14466408328734,-0.8553359167126681
2017-07-01,2017,7,Candy_Gum,processed_food,National,144.924,99.70537091789086,-0.2946290821091461
2017-08-01,2017,8,Candy_Gum,processed_food,National,144.943,99.7184426109675,-0.28155738903249583
2017-09-01,2017,9,Candy_Gum,processed_food,National,144.316,99.28707673943816,-0.7129232605618389
2017-10-01,2017,10,Candy_Gum,processed_food,National,143.893,98.99605957252125,-1.0039404274787609
2017-11-01,2017,11,Candy_Gum,processed_food,National,144.823,99.63588454943078,-0.36411545056921407
2017-12-01,2017,12,Candy_Gum,processed_food,National,145.607,100.17526388480398,0.17526388480398575
2018-01-01,2018,1,Candy_Gum,processed_food,National,146.172,100.56397475787269,0.5639747578726846
2018-02-01,2018,2,Candy_Gum,processed_food,National,145.931,100.39817065095313,0.39817065095312504
2018-03-01,2018,3,Candy_Gum,processed_food,National,146.384,100.7098273332542,0.7098273332542071
2018-04-01,2018,4,Candy_Gum,processed_food,National,144.381,99.33179568943721,-0.6682043105627864
2018-05-01,2018,5,Candy_Gum,processed_food,National,145.12,99.84021575173415,-0.15978424826584617
2018-06-01,2018,6,Candy_Gum,processed_food,National,145.132,99.84847155788783,-0.15152844211217437
2018-07-01,2018,7,Candy_Gum,processed_food,National,143.76,98.90455772098471,-1.0954422790152936
2018-08-01,2018,8,Candy_Gum,processed_food,National,144.084,99.12746448713385,-0.8725355128661544
2018-09-01,2018,9,Candy_Gum,processed_food,National,145.999,100.44495355249059,0.44495355249058566
2018-10-01,2018,10,Candy_Gum,processed_food,National,146.172,100.56397475787269,0.5639747578726846
2018-11-01,2018,11,Candy_Gum,processed_food,National,147.521,101.49206496631457,1.492064966314583
2018-12-01,2018,12,Candy_Gum,processed_food,National,147.435,101.43289835554661,1.4328983555466146
2019-01-01,2019,1,Candy_Gum,processed_food,National,148.139,101.91723898322869,1.917238983228682
2019-02-01,2019,2,Candy_Gum,processed_food,National,148.168,101.93719051476673,1.937190514766719
